run000 | 0.387040 | 70
run001 | 0.458662 | 44
run002 | 0.385377 | 19
run003 | 0.377296 | 13
run004 | 0.368676 | 10
run005 | 0.364904 | 9
run006 | 0.358937 | 6
run007 | 0.359982 | 5
run008 | 0.363750 | 5
run009 | 0.365092 | 4
run010 | 0.437769 | 47
run011 | 0.433426 | 51
run012 | 0.450455 | 24
run013 | 0.409323 | 17
run014 | 0.376024 | 10
run015 | 0.434278 | 8
run016 | 0.365803 | 4
run017 | 0.364335 | 3
run018 | 0.487118 | 3
run019 | 0.366440 | 2
run020 | 0.433926 | 23
run021 | 0.409110 | 54
run022 | 0.421976 | 21
run023 | 0.393860 | 18
run024 | 0.393431 | 15
run025 | 0.385634 | 10
run026 | 0.402410 | 6
run027 | 0.376315 | 4
run028 | 0.473253 | 1
run029 | 0.370587 | 2
run030 | 0.386758 | 51
run031 | 0.387948 | 17
run032 | 0.379902 | 19
run033 | 0.368760 | 13
run034 | 0.371472 | 10
run035 | 0.364181 | 9
run036 | 0.362876 | 6
run037 | 0.381394 | 5
run038 | 0.359317 | 5
run039 | 0.361249 | 4
run040 | 0.413299 | 47
run041 | 0.451176 | 51
run042 | 0.400162 | 24
run043 | 0.415659 | 17
run044 | 0.384302 | 10
run045 | 0.374348 | 8
run046 | 0.366002 | 4
run047 | 0.366830 | 3
run048 | 0.370455 | 3
run049 | 0.368599 | 2
run050 | 0.392519 | 53
run051 | 0.428879 | 54
run052 | 0.420430 | 39
run053 | 0.395018 | 19
run054 | 0.395194 | 15
run055 | 0.386895 | 10
run056 | 0.435423 | 6
run057 | 0.376005 | 4
run058 | 0.371906 | 1
run059 | 0.375064 | 2
run060 | 0.408499 | 70
run061 | 0.375972 | 22
run062 | 0.373532 | 19
run063 | 0.370840 | 13
run064 | 0.366132 | 10
run065 | 0.368460 | 9
run066 | 0.368083 | 6
run067 | 0.390177 | 5
run068 | 0.364829 | 5
run069 | 0.361411 | 4
run070 | 0.440656 | 47
run071 | 0.449607 | 51
run072 | 0.453252 | 24
run073 | 0.451594 | 17
run074 | 0.428780 | 10
run075 | 0.400965 | 8
run076 | 0.373645 | 4
run077 | 0.363737 | 3
run078 | 0.361663 | 3
run079 | 0.399166 | 2
run080 | 0.392394 | 65
run081 | 0.396536 | 36
run082 | 0.436435 | 39
run083 | 0.395956 | 17
run084 | 0.396084 | 15
run085 | 0.390966 | 10
run086 | 0.440744 | 6
run087 | 0.374677 | 4
run088 | 0.394128 | 1
run089 | 0.383906 | 2
run090 | 0.414955 | 70
run091 | 0.429533 | 44
run092 | 0.377211 | 19
run093 | 0.399997 | 13
run094 | 0.367075 | 10
run095 | 0.365658 | 9
run096 | 0.367282 | 6
run097 | 0.361083 | 5
run098 | 0.365802 | 5
run099 | 0.362150 | 4
run100 | 0.438496 | 47
run101 | 0.392971 | 38
run102 | 0.513689 | 24
run103 | 0.387039 | 17
run104 | 0.376253 | 10
run105 | 0.371717 | 8
run106 | 0.540487 | 4
run107 | 0.363042 | 3
run108 | 0.368158 | 3
run109 | 0.387280 | 2
run110 | 0.407288 | 33
run111 | 0.426244 | 54
run112 | 0.587334 | 39
run113 | 0.401353 | 16
run114 | 0.392056 | 15
run115 | 0.396199 | 10
run116 | 0.460478 | 6
run117 | 0.368792 | 4
run118 | 0.370309 | 1
run119 | 0.376908 | 2
run120 | 0.390543 | 49
run121 | 0.389116 | 44
run122 | 0.375426 | 19
run123 | 0.370511 | 13
run124 | 0.365733 | 10
run125 | 0.363808 | 9
run126 | 0.365481 | 6
run127 | 0.360618 | 5
run128 | 0.360835 | 5
run129 | 0.361197 | 4
run130 | 0.387963 | 47
run131 | 0.415475 | 51
run132 | 0.394895 | 24
run133 | 0.398800 | 17
run134 | 0.372988 | 10
run135 | 0.370357 | 8
run136 | 0.397378 | 4
run137 | 0.362976 | 3
run138 | 0.370184 | 3
run139 | 0.387958 | 2
run140 | 0.394067 | 56
run141 | 0.437472 | 54
run142 | 0.425472 | 25
run143 | 0.397980 | 20
run144 | 0.406322 | 15
run145 | 0.401411 | 10
run146 | 0.437294 | 6
run147 | 0.373207 | 4
run148 | 0.380712 | 1
run149 | 0.389628 | 2
run150 | 0.388506 | 46
run151 | 0.412225 | 44
run152 | 0.394710 | 19
run153 | 0.389250 | 13
run154 | 0.368634 | 10
run155 | 0.373762 | 9
run156 | 0.364193 | 6
run157 | 0.365637 | 5
run158 | 0.360980 | 5
run159 | 0.360017 | 4
run160 | 0.410400 | 47
run161 | 0.398173 | 39
run162 | 0.398838 | 24
run163 | 0.383859 | 17
run164 | 0.397805 | 10
run165 | 0.369312 | 8
run166 | 0.408443 | 4
run167 | 0.362663 | 3
run168 | 0.364741 | 3
run169 | 0.369514 | 2
run170 | 0.398937 | 44
run171 | 0.397545 | 42
run172 | 0.443785 | 39
run173 | 0.449187 | 38
run174 | 0.395937 | 15
run175 | 0.443682 | 10
run176 | 0.382794 | 6
run177 | 0.371247 | 4
run178 | 0.496680 | 1
run179 | 0.466918 | 2
run180 | 0.389519 | 38
run181 | 0.377586 | 25
run182 | 0.379895 | 19
run183 | 0.367260 | 13
run184 | 0.367411 | 10
run185 | 0.366696 | 9
run186 | 0.361571 | 6
run187 | 0.362194 | 5
run188 | 0.361065 | 5
run189 | 0.362513 | 4
run190 | 0.412014 | 47
run191 | 0.390019 | 35
run192 | 0.417013 | 24
run193 | 0.380286 | 17
run194 | 0.373202 | 10
run195 | 0.371279 | 8
run196 | 0.394087 | 4
run197 | 0.375851 | 3
run198 | 0.406289 | 3
run199 | 0.368587 | 2
run200 | 0.396207 | 60
