run000 | 0.393117 | 76
run001 | 0.458662 | 44
run002 | 0.385377 | 19
run003 | 0.378963 | 14
run004 | 0.368676 | 10
run005 | 0.364904 | 9
run006 | 0.360477 | 7
run007 | 0.359982 | 5
run008 | 0.363750 | 5
run009 | 0.360775 | 5
run010 | 0.427719 | 55
run011 | 0.461262 | 47
run012 | 0.474034 | 23
run013 | 0.396091 | 18
run014 | 0.377085 | 11
run015 | 0.434278 | 8
run016 | 0.376209 | 5
run017 | 0.364335 | 3
run018 | 0.487118 | 3
run019 | 0.366440 | 2
run020 | 0.399475 | 74
run021 | 0.410783 | 58
run022 | 0.509478 | 44
run023 | 0.437146 | 34
run024 | 0.393431 | 15
run025 | 0.385634 | 10
run026 | 0.402410 | 6
run027 | 0.376315 | 4
run028 | 0.365979 | 2
run029 | 0.363267 | 1
run030 | 0.392594 | 76
run031 | 0.397811 | 44
run032 | 0.379902 | 19
run033 | 0.371522 | 14
run034 | 0.371472 | 10
run035 | 0.364181 | 9
run036 | 0.363852 | 7
run037 | 0.381394 | 5
run038 | 0.359317 | 5
run039 | 0.365450 | 5
run040 | 0.410176 | 55
run041 | 0.456879 | 47
run042 | 0.405512 | 23
run043 | 0.415280 | 18
run044 | 0.392481 | 11
run045 | 0.374348 | 8
run046 | 0.371802 | 5
run047 | 0.366830 | 3
run048 | 0.370455 | 3
run049 | 0.368599 | 2
run050 | 0.403031 | 74
run051 | 0.429592 | 58
run052 | 0.474332 | 44
run053 | 0.425356 | 34
run054 | 0.395194 | 15
run055 | 0.386895 | 10
run056 | 0.435423 | 6
run057 | 0.376005 | 4
run058 | 0.392393 | 2
run059 | 0.365393 | 1
run060 | 0.408351 | 76
run061 | 0.384788 | 44
run062 | 0.373532 | 19
run063 | 0.386011 | 14
run064 | 0.366132 | 10
run065 | 0.368460 | 9
run066 | 0.363598 | 7
run067 | 0.390177 | 5
run068 | 0.364829 | 5
run069 | 0.364735 | 5
run070 | 0.437260 | 55
run071 | 0.450096 | 47
run072 | 0.437180 | 23
run073 | 0.386873 | 18
run074 | 0.420156 | 11
run075 | 0.400965 | 8
run076 | 0.367144 | 5
run077 | 0.363737 | 3
run078 | 0.361663 | 3
run079 | 0.399166 | 2
run080 | 0.394630 | 74
run081 | 0.419127 | 58
run082 | 0.442082 | 44
run083 | 0.415679 | 34
run084 | 0.396084 | 15
run085 | 0.390966 | 10
run086 | 0.440744 | 6
run087 | 0.374677 | 4
run088 | 0.363283 | 2
run089 | 0.367073 | 1
run090 | 0.410268 | 76
run091 | 0.429533 | 44
run092 | 0.377211 | 19
run093 | 0.374154 | 14
run094 | 0.367075 | 10
run095 | 0.365658 | 9
run096 | 0.363170 | 7
run097 | 0.361083 | 5
run098 | 0.365802 | 5
run099 | 0.364858 | 5
run100 | 0.599523 | 55
run101 | 0.398010 | 47
run102 | 0.488479 | 23
run103 | 0.411014 | 18
