run088.yaml: Model C | lr=0.0001 | dropout=0.95 | weight_decay=0
run089.yaml: Model C | lr=0.0005 | dropout=0 | weight_decay=0
run090.yaml: Model C | lr=0.0005 | dropout=0.65 | weight_decay=0
run091.yaml: Model C | lr=0.0005 | dropout=0.75 | weight_decay=0
run092.yaml: Model C | lr=0.0005 | dropout=0.85 | weight_decay=0
run093.yaml: Model C | lr=0.0005 | dropout=0.95 | weight_decay=0
run094.yaml: Model C | lr=0.001 | dropout=0 | weight_decay=0
run095.yaml: Model C | lr=0.001 | dropout=0.65 | weight_decay=0
run096.yaml: Model C | lr=0.001 | dropout=0.75 | weight_decay=0
run097.yaml: Model C | lr=0.001 | dropout=0.85 | weight_decay=0
run098.yaml: Model C | lr=0.001 | dropout=0.95 | weight_decay=0
run099.yaml: Model A | lr=0.0001 | dropout=0.55 | weight_decay=0.001
run100.yaml: Model A | lr=0.0001 | dropout=0.55 | weight_decay=0.005
run101.yaml: Model A | lr=0.0001 | dropout=0.55 | weight_decay=0.0005
run102.yaml: Model A | lr=0.0001 | dropout=0.55 | weight_decay=0.0001
run103.yaml: Model A | lr=0.0001 | dropout=0.65 | weight_decay=0.001
run104.yaml: Model A | lr=0.0001 | dropout=0.65 | weight_decay=0.005
run105.yaml: Model A | lr=0.0001 | dropout=0.65 | weight_decay=0.0005
run106.yaml: Model A | lr=0.0001 | dropout=0.65 | weight_decay=0.0001
run107.yaml: Model A | lr=0.0001 | dropout=0.75 | weight_decay=0.001
run108.yaml: Model A | lr=0.0001 | dropout=0.75 | weight_decay=0.005
run109.yaml: Model A | lr=0.0001 | dropout=0.75 | weight_decay=0.0005
run110.yaml: Model A | lr=0.0001 | dropout=0.75 | weight_decay=0.0001
run111.yaml: Model A | lr=0.0001 | dropout=0.85 | weight_decay=0.001
run112.yaml: Model A | lr=0.0001 | dropout=0.85 | weight_decay=0.005
run113.yaml: Model A | lr=0.0001 | dropout=0.85 | weight_decay=0.0005
run114.yaml: Model A | lr=0.0001 | dropout=0.85 | weight_decay=0.0001
run115.yaml: Model A | lr=0.0001 | dropout=0.95 | weight_decay=0.001
run116.yaml: Model A | lr=0.0001 | dropout=0.95 | weight_decay=0.005
run117.yaml: Model A | lr=0.0001 | dropout=0.95 | weight_decay=0.0005
run118.yaml: Model A | lr=0.0001 | dropout=0.95 | weight_decay=0.0001
run119.yaml: Model A | lr=0.0005 | dropout=0.55 | weight_decay=0.001
run120.yaml: Model A | lr=0.0005 | dropout=0.55 | weight_decay=0.005
run121.yaml: Model A | lr=0.0005 | dropout=0.55 | weight_decay=0.0005
run122.yaml: Model A | lr=0.0005 | dropout=0.55 | weight_decay=0.0001
run123.yaml: Model A | lr=0.0005 | dropout=0.65 | weight_decay=0.001
run124.yaml: Model A | lr=0.0005 | dropout=0.65 | weight_decay=0.005
run125.yaml: Model A | lr=0.0005 | dropout=0.65 | weight_decay=0.0005
run126.yaml: Model A | lr=0.0005 | dropout=0.65 | weight_decay=0.0001
run127.yaml: Model A | lr=0.0005 | dropout=0.75 | weight_decay=0.001
run128.yaml: Model A | lr=0.0005 | dropout=0.75 | weight_decay=0.005
run129.yaml: Model A | lr=0.0005 | dropout=0.75 | weight_decay=0.0005
