run114.yaml | seed:4 | 3-layer | 16-8-4 neurons
run115.yaml | seed:4 | 3-layer | 32-16-8 neurons
run116.yaml | seed:4 | 3-layer | 64-32-16 neurons
run117.yaml | seed:4 | 3-layer | 128-64-32 neurons
run118.yaml | seed:4 | 3-layer | 256-128-64 neurons
run119.yaml | seed:4 | 3-layer | 512-256-128 neurons
run120.yaml | seed:5 | 1-layer | 1 neurons
run121.yaml | seed:5 | 1-layer | 2 neurons
run122.yaml | seed:5 | 1-layer | 4 neurons
run123.yaml | seed:5 | 1-layer | 8 neurons
run124.yaml | seed:5 | 1-layer | 16 neurons
run125.yaml | seed:5 | 1-layer | 32 neurons
run126.yaml | seed:5 | 1-layer | 64 neurons
run127.yaml | seed:5 | 1-layer | 128 neurons
run128.yaml | seed:5 | 1-layer | 256 neurons
run129.yaml | seed:5 | 1-layer | 512 neurons
run130.yaml | seed:5 | 2-layer | 1-1 neurons
run131.yaml | seed:5 | 2-layer | 2-1 neurons
run132.yaml | seed:5 | 2-layer | 4-2 neurons
run133.yaml | seed:5 | 2-layer | 8-4 neurons
run134.yaml | seed:5 | 2-layer | 16-8 neurons
run135.yaml | seed:5 | 2-layer | 32-16 neurons
run136.yaml | seed:5 | 2-layer | 64-32 neurons
run137.yaml | seed:5 | 2-layer | 128-64 neurons
run138.yaml | seed:5 | 2-layer | 256-128 neurons
run139.yaml | seed:5 | 2-layer | 512-256 neurons
run140.yaml | seed:5 | 3-layer | 1-1-1 neurons
run141.yaml | seed:5 | 3-layer | 2-1-1 neurons
run142.yaml | seed:5 | 3-layer | 4-2-1 neurons
run143.yaml | seed:5 | 3-layer | 8-4-2 neurons
run144.yaml | seed:5 | 3-layer | 16-8-4 neurons
run145.yaml | seed:5 | 3-layer | 32-16-8 neurons
run146.yaml | seed:5 | 3-layer | 64-32-16 neurons
run147.yaml | seed:5 | 3-layer | 128-64-32 neurons
run148.yaml | seed:5 | 3-layer | 256-128-64 neurons
run149.yaml | seed:5 | 3-layer | 512-256-128 neurons
run150.yaml | seed:6 | 1-layer | 1 neurons
run151.yaml | seed:6 | 1-layer | 2 neurons
run152.yaml | seed:6 | 1-layer | 4 neurons
run153.yaml | seed:6 | 1-layer | 8 neurons
run154.yaml | seed:6 | 1-layer | 16 neurons
run155.yaml | seed:6 | 1-layer | 32 neurons
run156.yaml | seed:6 | 1-layer | 64 neurons
run157.yaml | seed:6 | 1-layer | 128 neurons
run158.yaml | seed:6 | 1-layer | 256 neurons
run159.yaml | seed:6 | 1-layer | 512 neurons
run160.yaml | seed:6 | 2-layer | 1-1 neurons
run161.yaml | seed:6 | 2-layer | 2-1 neurons
run162.yaml | seed:6 | 2-layer | 4-2 neurons
run163.yaml | seed:6 | 2-layer | 8-4 neurons
run164.yaml | seed:6 | 2-layer | 16-8 neurons
run165.yaml | seed:6 | 2-layer | 32-16 neurons
run166.yaml | seed:6 | 2-layer | 64-32 neurons
run167.yaml | seed:6 | 2-layer | 128-64 neurons
run168.yaml | seed:6 | 2-layer | 256-128 neurons
run169.yaml | seed:6 | 2-layer | 512-256 neurons
run170.yaml | seed:6 | 3-layer | 1-1-1 neurons
run171.yaml | seed:6 | 3-layer | 2-1-1 neurons
run172.yaml | seed:6 | 3-layer | 4-2-1 neurons
run173.yaml | seed:6 | 3-layer | 8-4-2 neurons
run174.yaml | seed:6 | 3-layer | 16-8-4 neurons
run175.yaml | seed:6 | 3-layer | 32-16-8 neurons
run176.yaml | seed:6 | 3-layer | 64-32-16 neurons
run177.yaml | seed:6 | 3-layer | 128-64-32 neurons
run178.yaml | seed:6 | 3-layer | 256-128-64 neurons
run179.yaml | seed:6 | 3-layer | 512-256-128 neurons
run180.yaml | seed:7 | 1-layer | 1 neurons
run181.yaml | seed:7 | 1-layer | 2 neurons
run182.yaml | seed:7 | 1-layer | 4 neurons
run183.yaml | seed:7 | 1-layer | 8 neurons
run184.yaml | seed:7 | 1-layer | 16 neurons
run185.yaml | seed:7 | 1-layer | 32 neurons
run186.yaml | seed:7 | 1-layer | 64 neurons
run187.yaml | seed:7 | 1-layer | 128 neurons
run188.yaml | seed:7 | 1-layer | 256 neurons
