run000 | 0.396943 | 49
run001 | 0.439414 | 59
run002 | 0.379971 | 21
run003 | 0.372733 | 16
run004 | 0.365649 | 14
run005 | 0.355006 | 13
run006 | 0.352432 | 12
run007 | 0.349872 | 7
run008 | 0.348087 | 6
run009 | 0.348695 | 6
run010 | 0.414683 | 91
run011 | 0.423504 | 63
run012 | 0.430979 | 33
run013 | 0.377503 | 16
run014 | 0.364103 | 13
run015 | 0.358937 | 7
run016 | 0.359556 | 5
run017 | 0.356070 | 3
run018 | 0.353316 | 2
run019 | 0.348107 | 2
run020 | 0.421331 | 36
run021 | 0.404145 | 39
run022 | 0.403925 | 26
run023 | 0.378408 | 17
run024 | 0.378336 | 12
run025 | 0.365363 | 8
run026 | 0.362968 | 5
run027 | 0.349935 | 3
run028 | 0.357141 | 2
run029 | 0.351928 | 1
run030 | 0.395574 | 55
run031 | 0.389237 | 23
run032 | 0.382851 | 23
run033 | 0.374455 | 16
run034 | 0.360259 | 15
run035 | 0.357770 | 12
run036 | 0.352744 | 8
run037 | 0.350939 | 7
run038 | 0.348727 | 5
run039 | 0.349046 | 6
run040 | 0.419805 | 49
run041 | 0.433800 | 68
run042 | 0.393895 | 37
run043 | 0.382213 | 15
run044 | 0.367420 | 9
run045 | 0.363375 | 6
run046 | 0.353141 | 5
run047 | 0.352636 | 5
run048 | 0.352265 | 2
run049 | 0.356395 | 1
run050 | 0.421495 | 68
run051 | 0.427873 | 36
run052 | 0.425590 | 29
run053 | 0.394847 | 13
run054 | 0.382109 | 16
run055 | 0.369411 | 7
run056 | 0.358539 | 6
run057 | 0.354569 | 3
run058 | 0.356996 | 2
run059 | 0.352685 | 1
run060 | 0.421042 | 85
run061 | 0.386700 | 26
run062 | 0.379327 | 21
run063 | 0.375025 | 13
run064 | 0.364436 | 13
run065 | 0.359472 | 10
run066 | 0.352130 | 9
run067 | 0.349314 | 7
run068 | 0.348807 | 7
run069 | 0.348883 | 6
run070 | 0.420091 | 70
run071 | 0.431418 | 66
run072 | 0.416895 | 25
run073 | 0.378331 | 16
run074 | 0.366534 | 9
run075 | 0.363644 | 7
run076 | 0.356947 | 5
run077 | 0.354034 | 3
run078 | 0.353198 | 2
run079 | 0.359440 | 1
run080 | 0.397797 | 48
run081 | 0.397191 | 45
run082 | 0.437406 | 32
run083 | 0.391870 | 20
run084 | 0.377522 | 12
run085 | 0.370740 | 6
run086 | 0.365242 | 6
run087 | 0.363599 | 4
run088 | 0.358766 | 2
run089 | 0.354741 | 1
run090 | 0.426780 | 56
run091 | 0.421713 | 52
run092 | 0.373318 | 17
run093 | 0.371626 | 15
run094 | 0.363305 | 14
run095 | 0.353511 | 13
run096 | 0.352744 | 8
run097 | 0.346721 | 6
run098 | 0.345672 | 7
run099 | 0.347316 | 4
run100 | 0.405728 | 81
run101 | 0.404728 | 32
run102 | 0.424564 | 51
run103 | 0.383938 | 14
run104 | 0.366028 | 7
run105 | 0.363942 | 6
run106 | 0.357145 | 5
run107 | 0.352221 | 3
run108 | 0.348498 | 3
run109 | 0.355255 | 2
run110 | 0.494759 | 19
run111 | 0.423475 | 56
run112 | 0.436028 | 86
run113 | 0.381125 | 17
run114 | 0.379353 | 13
run115 | 0.368524 | 8
run116 | 0.360783 | 4
run117 | 0.355466 | 3
run118 | 0.361802 | 1
run119 | 0.361008 | 2
run120 | 0.397457 | 46
run121 | 0.392794 | 40
run122 | 0.375519 | 19
run123 | 0.372097 | 17
run124 | 0.361953 | 14
run125 | 0.358462 | 10
run126 | 0.353753 | 11
run127 | 0.352654 | 6
run128 | 0.351766 | 5
run129 | 0.345693 | 4
run130 | 0.398118 | 50
run131 | 0.397297 | 58
run132 | 0.383106 | 20
run133 | 0.386417 | 18
run134 | 0.368068 | 9
run135 | 0.363685 | 7
run136 | 0.355453 | 5
run137 | 0.352857 | 4
run138 | 0.351926 | 2
run139 | 0.355453 | 1
run140 | 0.425537 | 57
run141 | 0.418713 | 45
run142 | 0.408135 | 30
run143 | 0.394033 | 17
run144 | 0.378209 | 9
run145 | 0.379584 | 11
run146 | 0.363544 | 4
run147 | 0.360819 | 2
run148 | 0.362489 | 3
run149 | 0.361582 | 1
run150 | 0.395961 | 50
run151 | 0.412349 | 41
run152 | 0.380311 | 24
run153 | 0.371572 | 18
run154 | 0.364442 | 14
run155 | 0.358850 | 14
run156 | 0.350965 | 8
run157 | 0.348310 | 8
run158 | 0.349643 | 8
run159 | 0.350623 | 3
run160 | 0.418398 | 48
run161 | 0.410811 | 43
run162 | 0.393129 | 20
run163 | 0.382986 | 19
run164 | 0.369097 | 9
run165 | 0.367354 | 7
run166 | 0.359166 | 5
run167 | 0.351030 | 3
run168 | 0.352594 | 3
run169 | 0.344426 | 1
run170 | 0.428372 | 63
run171 | 0.413996 | 42
run172 | 0.447056 | 46
run173 | 0.439425 | 25
run174 | 0.379596 | 11
run175 | 0.374035 | 6
run176 | 0.366059 | 5
run177 | 0.357791 | 3
run178 | 0.363349 | 3
run179 | 0.357196 | 1
run180 | 0.399484 | 48
run181 | 0.386877 | 21
run182 | 0.379237 | 17
run183 | 0.363386 | 16
run184 | 0.359622 | 12
run185 | 0.358621 | 15
run186 | 0.354317 | 11
run187 | 0.350411 | 6
run188 | 0.350778 | 6
run189 | 0.347188 | 5
run190 | 0.420306 | 56
