run000 | 0.348695 | 6
run001 | 0.352898 | 1
run002 | 0.349371 | 2
run003 | 0.362577 | 2
run004 | 0.365839 | 2
run005 | 0.374545 | 0
run006 | 0.349046 | 6
run007 | 0.348215 | 4
run008 | 0.356779 | 1
run009 | 0.358143 | 1
run010 | 0.365780 | 1
run011 | 0.367588 | 4
run012 | 0.348883 | 6
run013 | 0.354450 | 5
run014 | 0.352783 | 4
run015 | 0.358527 | 3
run016 | 0.361081 | 2
run017 | 0.364347 | 1
run018 | 0.347316 | 4
run019 | 0.352206 | 4
run020 | 0.354333 | 3
run021 | 0.369490 | 4
run022 | 0.363809 | 3
run023 | 0.371503 | 1
run024 | 0.345693 | 4
run025 | 0.347447 | 3
run026 | 0.352964 | 1
run027 | 0.355540 | 3
run028 | 0.378126 | 1
run029 | 0.362887 | 1
run030 | 0.350623 | 3
run031 | 0.347482 | 3
run032 | 0.353600 | 3
run033 | 0.360604 | 1
run034 | 0.378367 | 2
run035 | 0.373221 | 1
run036 | 0.347188 | 5
run037 | 0.350807 | 4
run038 | 0.350109 | 3
run039 | 0.353496 | 3
run040 | 0.363120 | 3
run041 | 0.369749 | 1
run042 | 0.346731 | 4
run043 | 0.350549 | 2
run044 | 0.350481 | 5
run045 | 0.350778 | 2
run046 | 0.365228 | 3
run047 | 0.380735 | 4
run048 | 0.347204 | 4
run049 | 0.350552 | 2
run050 | 0.350155 | 3
run051 | 0.361914 | 1
run052 | 0.373597 | 1
run053 | 0.374818 | 1
run054 | 0.346636 | 4
run055 | 0.351672 | 2
run056 | 0.351846 | 3
run057 | 0.355633 | 2
run058 | 0.359940 | 2
run059 | 0.366677 | 1
