n_layers,n_neurons,mean_loss,std_loss,num_runs,95%_CI,ci95_lower,ci95_upper
1-layer,1024 neurons,0.3506278,0.002338644137101663,10,0.0014495066535287076,0.34917829334647127,0.3520773066535287
1-layer,16384 neurons,0.370607,0.005452155394377944,10,0.0033792809238679467,0.36722771907613205,0.373986280923868
1-layer,2048 neurons,0.3522421,0.0023098969409429838,10,0.0014316889567525138,0.3508104110432475,0.3536737889567525
1-layer,4096 neurons,0.3586702,0.005322628085197522,10,0.003298999065892164,0.35537120093410784,0.36196919906589214
1-layer,512 neurons,0.3478015,0.001468062158084597,10,0.0009099143525849021,0.34689158564741507,0.3487114143525849
1-layer,8192 neurons,0.3674887,0.006751296534740576,10,0.004184496944960534,0.36330420305503947,0.37167319694496054
